decade, abiealba, fagusilv, landtype, area
0, 30.4802, 28.9824, 1, 300
1, 42.2164, 44.468, 1, 300
2, 53.0853, 67.3604, 1, 300
3, 57.3652, 100.637, 1, 300
4, 50.2736, 158.676, 1, 300
5, 37.298, 223.6, 1, 300
6, 29.29, 260.682, 1, 300
7, 28.221, 282.027, 1, 300
8, 27.2792, 287.714, 1, 300
9, 27.3802, 286.319, 1, 300
10, 27.8624, 288.378, 1, 300
11, 28.8292, 287.477, 1, 300
12, 30.2376, 289.167, 1, 300
13, 31.0551, 271.472, 1, 300
14, 34.1461, 267.222, 1, 300
15, 36.8333, 266.515, 1, 300
16, 39.7659, 251.536, 1, 300
17, 43.3581, 255.641, 1, 300
18, 45.0028, 260.062, 1, 300
19, 45.1473, 256.154, 1, 300
20, 46.3086, 248.542, 1, 300
21, 46.9997, 241.664, 1, 300
22, 47.7775, 236.776, 1, 300
23, 48.2622, 234.796, 1, 300
24, 47.2785, 239.882, 1, 300
25, 45.9385, 248.529, 1, 300
26, 44.1628, 252.626, 1, 300
27, 42.7287, 250.777, 1, 300
28, 42.4626, 252.895, 1, 300
29, 42.8958, 255.277, 1, 300
30, 43.9673, 253.346, 1, 300
31, 44.8626, 258.892, 1, 300
32, 45.409, 260.189, 1, 300
33, 43.6959, 259.835, 1, 300
34, 43.9874, 256.535, 1, 300
35, 44.4801, 252.573, 1, 300
36, 45.5638, 251.624, 1, 300
37, 46.4043, 249.188, 1, 300
38, 46.9452, 254.383, 1, 300
39, 46.6314, 256.33, 1, 300
40, 44.8969, 253.203, 1, 300
41, 44.7358, 249.401, 1, 300
42, 45.2414, 248.143, 1, 300
43, 45.9075, 246.258, 1, 300
44, 46.668, 247.05, 1, 300
45, 45.7379, 254.309, 1, 300
46, 45.0345, 259.767, 1, 300
47, 43.9839, 255.375, 1, 300
48, 44.1151, 255.12, 1, 300
49, 44.2261, 254.02, 1, 300
50, 45.2228, 251.509, 1, 300
